SP500 osnoven more padet 5.0% da kupimo 2x,in osnoven more padet 8.0% da kupimo 3x
"Zacetna investicija 1000, vseh mesecnih 12000.0"
Datum,Skupno (eur)
1927-12-30-1937-12-30,5534.79
1928-01-03-1938-01-03,5523.28
1929-01-02-1939-01-03,8100.54
1930-01-02-1940-01-02,7437.87
1931-01-02-1941-01-02,5282.76
1932-01-04-1942-01-05,5817.14
1933-01-03-1943-01-04,8505.97
1934-01-02-1944-01-03,12139.74
1935-01-02-1945-01-02,18012.16
1936-01-02-1946-01-02,33740.54
1937-01-04-1947-01-06,20992.65
1938-01-03-1948-01-05,20740.45
1939-01-03-1949-01-03,18334.06
1940-01-02-1950-01-03,23364.42
1941-01-02-1951-01-02,35401.59
1942-01-02-1952-01-02,37082.17
1943-01-04-1953-01-05,36787.64
1944-01-03-1954-01-04,27695.27
1945-01-02-1955-01-03,65073.61
1946-01-02-1956-01-03,102027.32
1947-01-02-1957-01-02,66577.62
1948-01-02-1958-01-02,40789.52
1949-01-03-1959-01-05,47297.17
1950-01-03-1960-01-04,38992.64
1951-01-02-1961-01-03,30274.07
1952-01-02-1962-01-02,39808.87
1953-01-02-1963-01-02,27546.95
1954-01-04-1964-01-06,27854.68
1955-01-03-1965-01-04,30823.78
1956-01-03-1966-01-03,34345.45
1957-01-02-1967-01-03,22686.44
1958-01-02-1968-01-02,24701.71
1959-01-02-1969-01-02,26148.37
1960-01-04-1970-01-05,19936.0
1961-01-03-1971-01-04,16794.18
1962-01-02-1972-01-03,19262.19
1963-01-02-1973-01-02,21763.14
1964-01-02-1974-01-02,13908.95
1965-01-04-1975-01-06,7452.2
1966-01-03-1976-01-05,11990.78
1967-01-03-1977-01-03,16213.29
1968-01-02-1978-01-03,11588.25
1969-01-02-1979-01-02,12238.24
1970-01-02-1980-01-02,15407.88
1971-01-04-1981-01-05,27476.9
1972-01-03-1982-01-04,19019.09
1973-01-02-1983-01-03,24111.06
1974-01-02-1984-01-03,32788.41
1975-01-02-1985-01-02,26835.97
1976-01-02-1986-01-02,39980.1
1977-01-03-1987-01-05,54922.48
1978-01-03-1988-01-04,34732.5
1979-01-02-1989-01-03,32076.5
1980-01-02-1990-01-02,50566.98
1981-01-02-1991-01-02,33639.88
1982-01-04-1992-01-06,40761.11
1983-01-03-1993-01-04,33143.58
1984-01-03-1994-01-03,32169.43
1985-01-02-1995-01-03,25644.37
1986-01-02-1996-01-02,41248.16
1987-01-02-1997-01-02,54769.09
1988-01-04-1998-01-05,47984.61
1989-01-03-1999-01-04,61760.41
1990-01-02-2000-01-03,76252.7
1991-01-02-2001-01-02,31616.5
1992-01-02-2002-01-02,24170.29
1993-01-04-2003-01-06,16165.71
1994-01-03-2004-01-05,19477.8
1995-01-03-2005-01-03,18520.4
1996-01-02-2006-01-03,18018.19
1997-01-02-2007-01-03,20924.44
1998-01-02-2008-01-02,19532.19
1999-01-04-2009-01-05,5000.42
2000-01-03-2010-01-04,7911.3
2001-01-02-2011-01-03,11750.75
2002-01-02-2012-01-03,13281.24
2003-01-02-2013-01-02,18325.19
2004-01-02-2014-01-02,27636.55
2005-01-03-2015-01-05,32787.95
2006-01-03-2016-01-04,30026.19
2007-01-03-2017-01-03,37453.14
2008-01-02-2018-01-02,54067.11
2009-01-02-2019-01-02,30714.01
2010-01-04-2020-01-06,36276.9
2011-01-03-2021-01-04,31967.56
2012-01-03-2022-01-03,35789.22
2013-01-02-2023-01-03,21897.62
2014-01-02-2024-01-02,26776.53
2015-01-02-2025-01-02,34570.69
